,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
1,2,2004-01-01,Local,Venta,Girona,199,1945424,2004-04-19,Pedro
4,5,2004-01-02,Suelo,Venta,Tarragona,152,1138024,2004-07-10,María
7,8,2004-01-03,Oficina,Venta,Girona,235,2158475,2004-10-31,Jesús
9,10,2004-01-04,Parking,Venta,Lleida,299,2042768,2004-10-06,Joaquín
11,12,2004-01-04,Industrial,Venta,Girona,187,999328,2004-04-05,Carmen
12,13,2004-01-04,Parking,Venta,Barcelona,300,2937300,2004-11-04,Jesús
13,14,2004-01-04,Local,Venta,Tarragona,68,664700,2004-10-01,Carmen
17,18,2004-01-06,Suelo,Venta,Barcelona,283,1679605,2004-06-06,Carmen
20,21,2004-01-09,Industrial,Venta,Barcelona,228,2020992,2004-06-12,Carmen
33,34,2004-01-15,Casa,Venta,Barcelona,281,2483197,2004-11-01,María
36,37,2004-01-16,Local,Venta,Girona,229,1160572,2004-07-09,Pedro
39,40,2004-01-18,Oficina,Venta,Girona,182,1057784,2004-07-22,Jesús
40,41,2004-01-18,Piso,Venta,Barcelona,230,1421860,2004-09-23,Jesús
41,42,2004-01-19,Oficina,Venta,Tarragona,168,1426992,2004-11-20,Jesús
43,44,2004-01-19,Casa,Venta,Girona,278,1537062,2004-12-16,María
47,48,2004-01-20,Industrial,Venta,Barcelona,284,1457488,2004-07-06,Jesús
48,49,2004-01-20,Local,Venta,Girona,40,321680,2005-01-11,Jesús
50,51,2004-01-20,Industrial,Venta,Lleida,90,568620,2004-12-14,Joaquín
54,55,2004-01-22,Local,Venta,Girona,127,983234,2004-07-09,Carmen
55,56,2004-01-23,Piso,Venta,Lleida,54,239220,2004-05-01,María
58,59,2004-01-24,Industrial,Venta,Tarragona,166,1373816,2004-11-19,Joaquín
60,61,2004-01-24,Casa,Venta,Tarragona,120,1140840,2004-09-12,Carmen
61,62,2004-01-24,Industrial,Venta,Tarragona,178,1142938,2005-01-23,Joaquín
62,63,2004-01-25,Piso,Venta,Barcelona,144,738144,2004-09-06,Luisa
63,64,2004-01-26,Industrial,Venta,Lleida,57,509010,2004-10-13,María
64,65,2004-01-26,Oficina,Venta,Tarragona,144,1436832,2004-05-26,Luisa
65,66,2004-01-27,Suelo,Venta,Lleida,272,2119424,2004-12-24,Pedro
68,69,2004-01-27,Local,Venta,Girona,248,2212408,2004-10-09,María
70,71,2004-01-28,Casa,Venta,Girona,235,1939925,2004-11-01,Carmen
71,72,2004-01-28,Suelo,Venta,Tarragona,216,1478952,2004-10-15,Carmen
73,74,2004-01-29,Industrial,Venta,Girona,229,1098055,2004-10-22,Joaquín
74,75,2004-01-29,Suelo,Venta,Tarragona,41,187862,2004-08-14,Jesús
77,78,2004-01-31,Piso,Venta,Lleida,87,448485,2004-10-04,María
78,79,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27,Carmen
81,82,2004-02-02,Parking,Venta,Girona,117,1069731,2004-09-14,Pedro
82,83,2004-02-02,Suelo,Venta,Lleida,56,471072,2004-05-29,María
83,84,2004-02-02,Piso,Venta,Barcelona,94,470940,2004-07-28,Carmen
85,86,2004-02-03,Piso,Venta,Girona,275,2141700,2005-01-08,Jesús
89,90,2004-02-04,Suelo,Venta,Girona,292,2685816,2004-07-24,Pedro
94,95,2004-02-06,Local,Venta,Barcelona,68,663816,2004-05-23,Joaquín
96,97,2004-02-07,Suelo,Venta,Tarragona,96,625536,2004-11-07,Jesús
97,98,2004-02-07,Casa,Venta,Lleida,227,1467782,2005-02-01,Carmen
101,102,2004-02-08,Local,Venta,Barcelona,45,438435,2004-05-23,Luisa
103,104,2004-02-09,Oficina,Venta,Tarragona,104,699400,2004-07-14,Luisa
109,110,2004-02-12,Parking,Venta,Barcelona,206,1587642,2004-12-20,Luisa
113,114,2004-02-14,Suelo,Venta,Girona,103,806799,2005-01-11,Joaquín
114,115,2004-02-14,Industrial,Venta,Tarragona,54,438750,2004-08-15,Carmen
115,116,2004-02-15,Parking,Venta,Girona,103,973659,2005-01-04,Jesús
116,117,2004-02-15,Oficina,Venta,Girona,274,1724008,2004-09-26,Joaquín
117,118,2004-02-15,Oficina,Venta,Girona,253,2047276,2004-09-10,Luisa
118,119,2004-02-16,Parking,Venta,Lleida,51,307989,2004-07-06,Pedro
119,120,2004-02-16,Piso,Venta,Tarragona,174,973878,2004-12-13,Jesús
